Name,Host institution,City,Country,ID Card,OrganizationID
RD Biobank,Rare Demo Institution,Milan,,http://catalogue.rd-connect.eu/web/rd-biobank/reg_home,162397
Quebec Myotonic Dystrophy Biocatalog,"Quebec Myotonic Dystrophy Biocatalog (QMDB)
CHUQ-CHUL
Human Genetics Units",-,,http://catalogue.rd-connect.eu/web/quebec-myotonic-dystrophy-biocatalog/reg_home,167848
Myobank-AFM : the tissue bank of the Myology Institute,"GH Pitié-Salpêtrière
Bâtiment Babinski
47-83 Bd de l'Hôpital
75013",-,,http://catalogue.rd-connect.eu/web/myobank-afm-the-tissue-bank-of-the-myology-institute/reg_home,168002
MRC Centre for Neuromuscular Diseases BioBank London,"MRC Centre for Neuromuscular Diseases BioBank London
Dubowitz",-,,http://catalogue.rd-connect.eu/web/mrc-centre-for-neuromuscular-diseases-biobank-london/bb_home,168144
"MTCC (Muscle Tissue Culture Collection), Friedrich-Baur-Institute",Friedrich-Baur-Institut,Munich,Germany,http://catalogue.rd-connect.eu/web/mtcc-muscle-tissue-culture-collection-friedrich-baur-institute-department-of-neurology-universi/bb_home,168284
DNA biobank of the Department of Molecular Genetics and Diagnostics,National Institute of Environmental Health,Budapest,Hungary,http://catalogue.rd-connect.eu/web/dna-biobank-of-the-department-of-molecular-genetics-and-diagnostics-national-institute-of-environme/bb_home,168416
National Laboratory for the Genetics of Israeli Populations,-,-,,http://catalogue.rd-connect.eu/web/national-laboratory-for-the-genetics-of-israeli-populations/bb_home,168562
NEUROMUSCULAR TISSUE BANK UNIVERSITY OF LJUBLJANA,"University of Ljubljana, Faculty of Medicine, Institute of Anatomy",Ljubljana,Slovenia,http://catalogue.rd-connect.eu/web/neuromuscular-tissue-bank-university-of-ljubljana/bb_home,168694
"Human DNA and cell biobank of Genethon - genetic diseases, mainly neuromuscular diseases - part of t",Manager of registry : ? Mr Safa SAKER-DELYE G?n?thon - Banque d'ADN et de,-,,http://catalogue.rd-connect.eu/web/human-dna-and-cell-biobank-of-genethon-genetic-diseases-mainly-neuromuscular-diseases-part-of-t/reg_home,168825
BIOGEN - Genetic Biobank,"Medical Genetic Department, Rizzoli Orthopaedic Institute",Bologna,Italy,http://catalogue.rd-connect.eu/web/173631/bb_home,173631
Hacettepe DNA/Cell Bank for Rare Diseases,Hacettepe University,Ankara,Turkey,http://catalogue.rd-connect.eu/web/hacettepe-rare-diseases-biobank/bb_home,173780
Clinical Unit for Inherited Metabolic Diseases,University Hospital Center Zagreb,Zagreb,,http://catalogue.rd-connect.eu/web/clinical-institute-of-laboratory-diagnosis-university-hospital-center-zagreb/reg_home,205819
Molecular Medicine Research Center Biobank,University of Cyprus Laboratory of Molecular and Medical Genetics,-,,http://catalogue.rd-connect.eu/web/molecular-medicine-research-center-biobank/reg_home,215018
Incontinentia Pigmenti Genetic BioBank,"Institute of Genetics and Biophysics ""A. Buzzati-Traverso"" CNR",Naples,Italy,http://catalogue.rd-connect.eu/web/incontinentia-pigmenti-genetic-biobank/bb_home,215190
Hospital Universitari Vall d’Hebron Biobank,"Passeig de la Vall d'Hebron, 119-129. Edificio MaternoInfantil, planta 14.",-,,http://catalogue.rd-connect.eu/web/hospital-universitari-vall-d-hebron-biobank/reg_home,217208
Congenital Muscle Disease Tissue Repository,"8701 Watertown Plank Road, Milwaukee, WI 53226",-,,http://catalogue.rd-connect.eu/web/congenital-muscle-disease-tissue-repository/reg_home,217380
SPATAX and INSERM Biobank,ICM – Institut du Cerveau et de la Moelle épinière,Paris,,http://catalogue.rd-connect.eu/web/spatax/reg_home,218400
GeNeMove,Universitätsklinikum Tübingen,Tübingen,,http://catalogue.rd-connect.eu/web/genemove/reg_home,218567
UCL Huntington's disease biobank,University College London,London,,http://catalogue.rd-connect.eu/web/ucl-huntington-s-disease-biobank/reg_home,218734
DZNE Biobank,Klinik und Poliklinik für Neurologie,Bonn,,http://catalogue.rd-connect.eu/web/eurosca-r-european-biobank-on-spinocerebellar-ataxias/reg_home,218907
Hertie Biobank,Universitätsklinikum Tübingen,Tübingen,,http://catalogue.rd-connect.eu/web/hertie-biobank/reg_home,219153
Newcastle University,Institute of Genetic Medicine,Newcastle,,http://catalogue.rd-connect.eu/web/newcastle-university/reg_home,219455
"Hacettepe University Faculty of Medicine, Turkey",Hacettepe University Faculty of Medicine,Ankara,,http://catalogue.rd-connect.eu/web/hacettepe-university-faculty-of-medicine-turkey/reg_home,219486
University of Zurich,University of Zurich,Zurich,,http://catalogue.rd-connect.eu/web/university-of-zurich/reg_home,219570
Centro de Investigaciones Biológicas,Consejo Superior de Investigaciones Científicas - CSIC,Madrid,,http://catalogue.rd-connect.eu/web/madrid/reg_home,219775
University Medical Center Utrecht,-,-,,http://catalogue.rd-connect.eu/web/university-medical-center-utrecht/reg_home,220019
Radboud UMC Nijmegen,-,-,,http://catalogue.rd-connect.eu/web/radboud-umc-nijmegen/reg_home,220132
Division of Pediatric Nephrology Biobank,Heidelberg University Medical Center,Heidelberg,,http://catalogue.rd-connect.eu/web/heidelberg-university-medical-center/reg_home,220474
Katholieke Universiteit Leuven,-,-,,http://catalogue.rd-connect.eu/web/katholieke-universiteit-leuven/reg_home,220634
"IRCCS-Istituto di Ricerche Farmacologiche Mario Negri, Bergamo",-,-,,http://catalogue.rd-connect.eu/web/irccs-istituto-di-ricerche-farmacologiche-mario-negri-bergamo/reg_home,220800
